# time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	
# s 	m 	m 	deg 	m/s 	mm 	mm/m 	Nm 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	
0.0500	0.0025	-0.0001	0.0000	0.0000	0.0385	0.0049	-0.0606	0.0288	0.0482	0.3106	-0.7550	-1.4821	0.9739	0.5836	-0.5284	0.7558
0.1000	0.0025	-0.0001	0.0000	0.0000	0.0119	-0.0487	-0.0426	0.1088	-0.0850	-0.0782	-1.4933	-1.0585	-0.0650	-0.5040	0.2501	0.0396
0.1500	0.0025	-0.0001	0.0000	0.0000	0.0506	0.0160	0.0142	0.0187	0.0825	0.4034	-0.3358	-0.7591	1.0272	0.0932	0.6761	0.0160
0.2000	0.0025	-0.0001	0.0000	0.0000	0.0138	0.0208	-0.0322	-0.0276	0.0552	-0.0319	0.8081	0.7913	0.3612	0.1611	0.0983	0.2281
0.2500	0.0025	-0.0001	0.0000	0.0000	0.0014	0.0392	-0.0448	-0.0766	0.0793	-0.4600	0.9543	1.2449	-0.6422	-0.0088	-0.1906	0.1903
0.3000	0.0025	-0.0001	0.0000	0.0000	-0.0696	-0.0350	0.0426	0.0001	-0.1394	0.3284	1.1697	0.8110	-1.1395	-0.1690	0.2598	-0.7238
0.3500	0.0025	-0.0001	0.0000	0.0000	-0.0329	-0.0047	0.0432	-0.0236	-0.0421	-0.2638	1.1739	2.3328	1.1692	-0.7856	0.0640	0.1527
0.4000	0.0025	-0.0001	0.0000	0.0000	-0.0395	-0.0773	-0.0377	0.1144	-0.1933	-0.3066	1.3236	0.2041	0.4766	-0.6060	0.2011	0.1998
0.4500	0.0025	-0.0001	0.0000	0.0000	-0.0266	0.0084	-0.0300	-0.0434	-0.0098	0.1251	-0.1843	1.1890	-1.2104	0.3845	-0.3620	-0.8228
0.5000	0.0025	-0.0001	0.0000	0.0000	-0.0324	-0.0145	0.0235	-0.0036	-0.0611	-0.3351	-0.1759	-1.1354	0.3079	-0.4215	-0.0143	0.8360
0.5500	0.0025	-0.0001	0.0000	0.0000	-0.0475	-0.0590	0.0481	0.0700	-0.1650	-0.0639	0.2710	1.2168	-1.0241	0.5301	-0.1465	0.3081
0.6000	0.0025	-0.0001	0.0000	0.0000	-0.0223	-0.0460	-0.0355	0.0691	-0.1138	-0.0532	-0.8079	-1.5062	1.4178	-0.0622	-0.3521	-0.3374
0.6500	0.0025	-0.0001	0.0000	0.0000	-0.0029	-0.0061	0.0268	0.0092	-0.0151	-0.3351	-1.2750	-0.7587	0.7341	0.7147	0.5096	-0.8039
0.7000	0.0025	-0.0001	0.0000	0.0000	0.0770	-0.0097	0.0142	0.0963	0.0578	-0.1067	-0.0046	-0.6289	0.7519	-0.5477	-0.4942	0.0019
0.7500	0.0025	-0.0001	0.0000	0.0000	0.0457	0.0334	-0.0497	-0.0207	0.1121	-0.1140	0.6934	1.0155	-1.1838	-0.0962	0.5193	-0.0076
0.8000	0.0025	-0.0001	0.0000	0.0000	-0.0477	-0.0036	0.0082	-0.0405	-0.0550	0.0501	1.0743	0.8573	-0.6866	0.6467	-0.2836	0.6757
0.8500	0.0025	-0.0001	0.0000	0.0000	-0.0194	0.0062	0.0099	-0.0317	-0.0072	0.2321	-1.3807	-0.8069	-0.4291	0.0835	0.3724	0.6568
0.9000	0.0025	-0.0001	0.0000	0.0000	0.0501	0.0033	-0.0295	0.0436	0.0566	-0.1638	-0.8800	-1.3525	1.4267	-0.3632	-0.4550	-0.5212
0.9500	0.0025	-0.0001	0.0000	0.0000	0.0217	-0.0151	0.0131	0.0518	-0.0084	0.4177	0.3244	0.3983	-0.9530	0.2728	0.4508	-0.3893
1.0000	0.0025	-0.0001	0.0000	0.0000	-0.0107	-0.0508	0.0301	0.0905	-0.1118	-0.0960	1.2893	0.8449	1.4889	-0.0039	0.5389	-0.2243
1.0500	0.0025	-0.0001	0.0000	0.0000	0.0409	-0.0421	-0.0552	0.1247	-0.0429	-0.2602	-0.6335	-0.2662	1.0005	-0.0137	-0.6018	0.4495
1.1000	0.0025	-0.0001	0.0000	0.0000	0.0190	-0.0601	0.0262	0.1386	-0.1006	-0.2708	-0.2982	-1.0875	-1.2016	-0.1884	-0.6998	0.1385
1.1500	0.0025	-0.0001	0.0000	0.0000	-0.0324	-0.0140	0.0486	-0.0047	-0.0602	-0.3530	0.1622	0.4350	0.3345	-0.6011	0.0249	-0.1301
1.2000	0.0025	-0.0001	0.0000	0.0000	0.0393	0.0401	-0.0491	-0.0405	0.1192	0.3320	-0.3750	-0.3764	0.1747	0.5010	-0.5039	-0.3327
1.2500	0.0025	-0.0001	0.0000	0.0000	0.0130	0.0269	0.0295	-0.0406	0.0666	0.1858	0.1232	0.3965	-0.4025	0.3311	-0.7585	-0.2055
1.3000	0.0025	-0.0001	0.0000	0.0000	0.0082	0.0498	0.0481	-0.0908	0.1073	-0.1781	1.1310	0.3512	-1.2993	-0.5186	0.3039	-0.2243
1.3500	0.0025	-0.0001	0.0000	0.0000	-0.0168	0.0187	-0.0535	-0.0540	0.0205	0.3320	1.1357	1.0305	-0.1006	0.7438	0.7298	0.3034
1.4000	0.0025	-0.0001	0.0000	0.0000	0.0048	0.0088	0.0306	-0.0127	0.0223	0.2286	1.0882	0.8429	0.7785	0.5932	-0.4892	0.6192
1.4500	0.0025	-0.0001	0.0000	0.0000	0.0333	0.0369	0.0421	-0.0401	0.1068	-0.2281	0.2972	0.8212	0.8229	-0.1011	-0.9396	-0.5259
1.5000	0.0025	-0.0001	0.0000	0.0000	-0.0185	-0.0049	-0.0524	-0.0089	-0.0282	0.1644	0.5091	0.4962	-1.1306	-0.2661	-0.2298	0.6427
1.5500	0.0025	-0.0001	0.0000	0.0000	0.0057	0.0559	0.0333	-0.1055	0.1168	-0.2245	0.4769	0.6612	0.3878	0.6418	0.5193	-0.3940
1.6000	0.0025	-0.0001	0.0000	0.0000	0.0140	0.0310	0.0388	-0.0476	0.0756	0.1358	-1.0011	-0.5165	0.3168	0.0252	-0.5430	0.6427
1.6500	0.0025	-0.0001	0.0000	0.0000	0.0311	-0.0149	-0.0535	0.0608	0.0015	0.0751	-0.2663	-0.8312	0.1836	0.6175	-0.1122	0.1103
1.7000	0.0025	-0.0001	0.0000	0.0000	-0.0224	-0.0678	0.0355	0.1126	-0.1574	-0.3565	-0.5015	-0.6136	-0.6511	-0.1156	0.6761	-0.3846
1.7500	0.0025	-0.0001	0.0000	0.0000	-0.0236	-0.0180	0.0246	0.0123	-0.0594	-0.1139	-1.1128	-0.7953	-0.0295	-0.8439	0.1080	-0.4081
1.8000	0.0025	-0.0001	0.0000	0.0000	0.0242	0.0187	-0.0486	-0.0131	0.0615	0.3570	0.6922	0.2274	1.8796	-0.2127	-0.0143	-0.0076
