time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	
s 	m 	m 	� 	m/s 	mm 	mm/m 	Nm 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	
0.0500	0.0041	-0.0001	0.0100	0.0000	0.0143	0.0449	0.0115	-0.0750	0.1037	-0.5344	0.5453	1.6051	-1.2605	-0.8036	-0.0384	0.0229
0.1000	0.0041	-0.0001	0.0100	0.0000	-0.0407	0.0438	0.0028	-0.1279	0.0465	0.0257	-0.8907	-0.0371	0.3378	-0.0850	-1.0224	-0.8583
0.1500	0.0041	-0.0001	0.0100	0.0000	-0.0264	0.0354	-0.0060	-0.0969	0.0441	0.1256	0.9808	0.1799	0.6309	0.8278	0.0399	0.1783
0.2000	0.0041	-0.0001	0.0100	0.0000	-0.0169	-0.0572	-0.0191	0.0968	-0.1306	-0.0064	-0.4038	-0.5683	-0.2926	-0.1432	-0.4987	-0.3541
0.2500	0.0041	-0.0001	0.0100	0.0000	-0.0184	-0.0490	0.0345	0.0791	-0.1158	-0.2240	-0.6914	0.4405	0.5953	0.2064	-0.0923	-0.5567
0.3000	0.0041	-0.0001	0.0100	0.0000	0.0576	0.0072	-0.0409	0.0432	0.0719	-1.5654	1.1894	0.7793	-1.6423	-0.3131	0.2896	0.3339
0.3500	0.0041	-0.0001	0.0100	0.0000	0.0412	0.0073	-0.0021	0.0268	0.0557	0.2648	1.5079	0.4753	0.4177	-0.7211	-0.0188	-0.0242
0.4000	0.0041	-0.0001	0.0100	0.0000	0.0052	0.0234	-0.0551	-0.0414	0.0518	0.0756	0.3429	0.8151	0.8173	0.8035	0.3582	-0.1751
0.4500	0.0041	-0.0001	0.0100	0.0000	-0.0785	-0.0338	-0.0365	-0.0112	-0.1458	0.6001	-0.4834	0.6458	0.7907	0.6676	-0.2147	-0.6934
0.5000	0.0041	-0.0001	0.0100	0.0000	0.0098	-0.0153	-0.0578	0.0402	-0.0207	-0.2454	-0.4340	-0.8791	-1.9531	-0.4686	0.4805	0.4658
0.5500	0.0041	-0.0001	0.0100	0.0000	0.0783	-0.0055	-0.0486	0.0892	0.0673	0.1720	0.0092	-0.8914	0.2313	-0.0996	-0.5328	-0.1091
0.6000	0.0041	-0.0001	0.0100	0.0000	-0.0461	0.0719	0.0296	-0.1892	0.0969	0.2255	0.6274	0.7306	-0.3547	-0.0558	0.6274	-0.4578
0.6500	0.0041	-0.0001	0.0100	0.0000	-0.0331	0.0249	-0.0633	-0.0826	0.0165	0.0114	-1.2668	-0.4364	0.4977	0.0218	0.5785	0.3433
