time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	
s 	m 	m 	° 	m/s 	mm 	mm/m 	Nm 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	
0.0500	0.0030	0.0000	0.0000	0.0000	0.0475	-0.0559	0.0157	0.1588	-0.0638	-0.1611	0.6910	1.0729	0.5299	-0.5785	0.1903	0.6620
0.1000	0.0030	0.0000	0.0000	0.0000	0.0614	0.0277	0.0152	0.0062	0.1165	0.0707	-0.4505	-1.3746	-1.7698	-0.5445	0.0190	-0.0402
0.1500	0.0030	0.0000	0.0000	0.0000	0.0617	-0.0016	0.0381	0.0649	0.0585	-0.1433	-0.1765	0.1043	0.1215	0.3051	0.4302	0.2237
0.2000	0.0030	0.0000	0.0000	0.0000	0.0168	-0.0842	-0.0597	0.1844	-0.1507	0.2920	0.0565	-0.8742	0.9562	-0.4086	-0.4999	0.2662
0.2500	0.0030	0.0000	0.0000	0.0000	-0.0765	0.0007	-0.0526	-0.0780	-0.0751	0.0993	0.0445	1.5591	-1.7876	-0.0104	-0.1132	-0.2193
0.3000	0.0030	0.0000	0.0000	0.0000	-0.0100	-0.0025	0.0081	-0.0049	-0.0150	-0.0612	-0.3784	-1.5283	-0.2514	-0.6029	0.4008	-0.0307
0.3500	0.0030	0.0000	0.0000	0.0000	-0.0198	0.0113	0.0337	-0.0422	0.0027	0.2027	-0.5100	0.8712	-0.9973	0.4071	0.8024	0.1294
0.4000	0.0030	0.0000	0.0000	0.0000	-0.0636	-0.0221	0.0376	-0.0196	-0.1076	-0.3716	0.7305	0.2689	-1.3525	0.5139	-0.2160	-0.1344
0.4500	0.0030	0.0000	0.0000	0.0000	0.0076	0.0650	-0.0263	-0.1217	0.1370	-0.1968	0.9046	0.6935	0.6277	-0.8699	0.0043	0.6714
0.5000	0.0030	0.0000	0.0000	0.0000	-0.0714	0.0067	-0.0427	-0.0847	-0.0581	-0.3110	-0.6006	-0.0613	-1.3968	-0.3115	0.1756	-0.3559
0.5500	0.0030	0.0000	0.0000	0.0000	-0.0468	0.0363	0.0272	-0.1189	0.0254	0.0030	-0.4706	-1.1696	-0.5799	-0.0299	-0.4266	0.2803
0.6000	0.0030	0.0000	0.0000	0.0000	-0.0433	0.0484	0.0469	-0.1396	0.0531	-0.0006	-1.5374	-0.9580	-0.5178	0.6498	0.2686	-0.0590
