time 	x0 	y0 	psi 	u 	WG1 	WG2 	WG3 	WG4 	x_0AW 	
s 	m 	m 	° 	m/s 	mm 	mm 	mm 	mm 	mm 	
0.0250	3.9989	0.0001	0.0000	0.0000	1.3587	0.4887	0.4667	-0.2445	-0.2029
0.0500	3.9989	0.0001	0.0000	0.0000	0.4174	-0.3124	-0.2922	0.0665	0.1281
0.0750	3.9989	0.0001	0.0000	0.0000	-0.1419	-0.6232	0.4520	-0.8854	-0.8744
0.1000	3.9989	0.0001	0.0000	0.0000	-1.1365	-0.6814	0.2757	0.4058	-2.5904
0.1250	3.9989	0.0001	0.0000	0.0000	-1.3051	-0.3173	0.0309	0.3256	-0.8138
0.1500	3.9989	0.0001	0.0000	0.0000	-0.5327	-0.1086	0.0847	0.2644	-1.3827
0.1750	3.9989	0.0001	0.0000	0.0000	-1.7136	0.4401	0.0847	0.1890	0.1281
0.2000	3.9989	0.0001	0.0000	0.0000	-1.5360	0.4352	-0.3754	0.3728	-0.5154
0.2250	3.9989	0.0001	0.0000	0.0000	-0.2929	0.8626	0.4373	0.6084	0.9535
0.2500	3.9989	0.0001	0.0000	0.0000	-0.7635	0.5129	-0.1111	0.1937	-0.7532
0.2750	3.9989	0.0001	0.0000	0.0000	2.6728	-0.1231	-0.0915	0.1655	0.9069
0.3000	3.9989	0.0001	0.0000	0.0000	-0.8701	-0.4921	-0.1209	-0.2634	0.7203
0.3250	3.9989	0.0001	0.0000	0.0000	0.2310	-0.1717	0.4373	0.3068	0.5571
0.3500	3.9989	0.0001	0.0000	0.0000	1.7050	-0.1571	0.0163	0.2315	0.4825
0.3750	3.9989	0.0001	0.0000	0.0000	-0.4704	0.0128	-0.4146	0.4199	0.4499
0.4000	3.9989	0.0001	0.0000	0.0000	-0.1153	-0.0697	-0.0426	-0.1927	0.7203
0.4250	3.9989	0.0001	0.0000	0.0000	-1.5804	-0.4630	-0.3607	-0.8524	0.1701
0.4500	3.9989	0.0001	0.0000	0.0000	-0.9411	-0.3173	0.7555	-0.0937	-0.0584
0.4750	3.9989	0.0001	0.0000	0.0000	-0.9322	-0.0115	0.1093	0.4671	0.4219
0.5000	3.9989	0.0001	0.0000	0.0000	0.6128	-0.3756	-0.5811	-0.7299	0.6457
0.5250	3.9989	0.0001	0.0000	0.0000	-0.7635	0.3381	-0.5762	0.4340	-0.1470
0.5500	3.9989	0.0001	0.0000	0.0000	-0.0709	-0.2785	-0.4342	-0.0136	-0.3988
0.5750	3.9989	0.0001	0.0000	0.0000	0.4797	-0.0454	0.5793	-0.0607	-0.1517
0.6000	3.9989	0.0001	0.0000	0.0000	-0.2485	-0.5650	0.0211	0.2173	-0.0397
0.6250	3.9989	0.0001	0.0000	0.0000	0.2576	0.4352	-0.2384	0.0194	0.7530
0.6500	3.9989	0.0001	0.0000	0.0000	0.4619	0.3770	-0.4440	0.2974	0.6038
0.6750	3.9989	0.0001	0.0000	0.0000	-0.0443	-0.1279	-0.5076	-0.4565	-0.6086
0.7000	3.9989	0.0001	0.0000	0.0000	-0.7901	-0.0115	-0.0670	0.3115	-0.5107
0.7250	3.9989	0.0001	0.0000	0.0000	0.1067	-0.4727	0.2463	-0.0701	1.0281
0.7500	3.9989	0.0001	0.0000	0.0000	-0.2041	0.1828	-0.3461	-0.0796	-0.6972
0.7750	3.9989	0.0001	0.0000	0.0000	1.7139	-0.7106	0.2757	0.4199	-1.4247
0.8000	3.9989	0.0001	0.0000	0.0000	1.9625	-0.9000	0.5939	0.5754	1.0141
0.8250	3.9989	0.0001	0.0000	0.0000	0.3908	-0.0163	-0.0083	0.1749	1.2892
0.8500	3.9989	0.0001	0.0000	0.0000	-2.5572	0.6100	0.5303	-0.8477	-0.7392
0.8750	3.9989	0.0001	0.0000	0.0000	0.3997	0.2119	0.2022	0.4293	0.2540
0.9000	3.9989	0.0001	0.0000	0.0000	-0.8701	-0.7106	0.1973	-0.2540	0.3100
0.9250	3.9989	0.0001	0.0000	0.0000	0.3731	0.4206	-0.1894	-0.6780	1.3778
0.9500	3.9989	0.0001	0.0000	0.0000	0.6039	0.7848	-0.1013	-0.6309	-0.8465
0.9750	3.9989	0.0001	0.0000	0.0000	-1.5183	-0.1474	-0.1552	0.4058	0.2820
