time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	x_0AW 	
s 	m 	m 	° 	m/s 	mm 	mm/m 	° 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	mm 	
0.0250	34.9963	0.0001	0.0000	0.0000	-0.0049	-0.0016	0.0086	-0.0016	-0.0081	-0.2652	1.0618	0.1768	1.1197	0.4667	-0.0853	0.3400	0.3516
0.0500	34.9963	0.0001	0.0000	0.0000	-0.0551	-0.0427	0.0021	0.0299	-0.1401	0.1807	-0.9024	-0.0757	1.3239	-0.2616	0.8155	0.0385	0.1325
0.0750	34.9963	0.0001	0.0000	0.0000	0.0091	0.0093	0.0031	-0.0095	0.0276	0.2343	0.0951	1.0214	0.7023	0.4181	0.3259	0.4767	-0.6649
0.1000	34.9963	0.0001	0.0000	0.0000	0.0429	-0.0503	-0.0055	0.1429	-0.0571	-0.0476	-0.8670	-1.1649	-0.7539	0.2627	0.2232	-0.1641	-0.4458
0.1250	34.9963	0.0001	0.0000	0.0000	-0.0270	0.0113	-0.0051	-0.0495	-0.0046	0.2842	-0.1290	-1.1671	-1.8993	-0.6404	0.5806	0.0526	-0.1520
0.1500	34.9963	0.0001	0.0000	0.0000	-0.0430	0.0198	-0.0055	-0.0824	-0.0037	0.1344	0.9655	0.2504	-0.6029	0.3307	-0.2811	0.2882	-0.4877
0.1750	34.9963	0.0001	0.0000	0.0000	-0.0120	-0.0232	0.0079	0.0341	-0.0581	0.0059	-1.7728	-0.5413	0.0186	0.4472	0.1595	0.2316	0.3097
0.2000	34.9963	0.0001	0.0000	0.0000	-0.0184	-0.0190	-0.0021	0.0194	-0.0563	-0.1332	0.4889	0.8761	-1.4642	-0.6258	0.1790	0.0997	0.1045
0.2250	34.9963	0.0001	0.0000	0.0000	0.0424	-0.0382	0.0144	0.1184	-0.0336	-0.3151	-0.8721	-1.4227	-0.1412	-0.0625	-0.2371	0.0573	-0.2079
0.2500	34.9963	0.0001	0.0000	0.0000	0.0618	-0.0277	-0.0002	0.1169	0.0066	0.1807	0.8485	0.1349	0.5070	-0.6501	-0.1734	-0.5694	0.4635
0.2750	34.9963	0.0001	0.0000	0.0000	-0.0450	0.0546	-0.0071	-0.1537	0.0637	-0.3045	-0.9391	-1.0112	0.9421	0.4764	-0.4084	-0.4752	0.3796
0.3000	34.9963	0.0001	0.0000	0.0000	-0.0206	0.0162	-0.0118	-0.0529	0.0117	-0.3794	0.0221	1.2023	0.8355	-0.5384	-0.3742	-0.1312	0.0485
0.3250	34.9963	0.0001	0.0000	0.0000	0.0093	0.0060	-0.0112	-0.0026	0.0212	0.2343	-0.8100	-0.8556	0.0364	0.5152	0.2721	0.4249	0.0159
0.3500	34.9963	0.0001	0.0000	0.0000	0.0474	-0.0287	0.0074	0.1045	-0.0097	0.0844	0.1354	-1.0466	-0.4698	0.7920	0.6246	0.1044	0.3656
