time 	x0 	y0 	psi 	u 	v 	WG1 	WG2 	WG3 	WG4 	x_0WM 	
s 	m 	m 	° 	m/s 	m/s 	mm 	mm 	mm 	mm 	mm 	
0.0250	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.7654	-0.0429	-0.4193	-0.6472	0.7240
0.0500	14.9979	0.0001	0.0000	0.0000	-0.0000	0.3800	-0.2906	0.0213	-0.6142	-0.4231
0.0750	14.9979	0.0001	0.0000	0.0000	-0.0000	1.2769	-0.7130	-0.0227	0.0879	0.2158
0.1000	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.4047	0.5349	0.0752	0.0691	0.2298
0.1250	14.9979	0.0001	0.0000	0.0000	-0.0000	1.3035	0.4329	-0.4879	0.4084	-0.6702
0.1500	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.8542	-0.2420	0.5305	0.8325	0.1412
0.1750	14.9979	0.0001	0.0000	0.0000	-0.0000	1.3390	-0.5527	-0.2137	0.2010	0.0246
0.2000	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.1028	-0.4362	-0.0815	-0.6613	-0.8567
0.2250	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.0107	-0.3537	-0.0619	0.0220	-0.2785
0.2500	14.9979	0.0001	0.0000	0.0000	-0.0000	1.4012	0.7533	-1.3202	0.6393	0.0619
0.2750	14.9979	0.0001	0.0000	0.0000	-0.0000	1.2236	0.1367	0.7557	0.2434	0.3044
0.3000	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.4102	-0.2323	-0.3067	0.2906	-0.1107
0.3250	14.9979	0.0001	0.0000	0.0000	-0.0000	0.8862	-0.5382	-0.1500	-0.2608	-0.3811
0.3500	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.6056	0.5591	0.1682	-1.2786	-1.2345
0.3750	14.9979	0.0001	0.0000	0.0000	-0.0000	0.4511	-0.2274	0.0017	-0.1995	0.8173
0.4000	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.2804	-0.0866	-0.3704	0.3754	-0.5210
0.4250	14.9979	0.0001	0.0000	0.0000	-0.0000	1.1969	0.2047	0.3053	-0.0534	-0.5350
0.4500	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.9608	-0.2371	-0.1305	0.7429	0.0106
0.4750	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.1472	-0.3828	0.3885	0.0597	0.4163
0.5000	14.9979	0.0001	0.0000	0.0000	-0.0000	1.1881	-0.3634	-0.5025	0.4131	-0.0360
0.5250	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.9430	0.1756	-0.1256	0.1775	0.2997
0.5500	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.0407	0.6465	0.5550	0.0597	-0.8987
0.5750	14.9979	0.0001	0.0000	0.0000	-0.0000	1.6231	0.2872	0.2906	-0.8875	0.2064
0.6000	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.4491	0.7533	0.1731	-0.8168	-1.2205
0.6250	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.3392	0.0202	-0.0374	-0.4445	0.5795
0.6500	14.9979	0.0001	0.0000	0.0000	-0.0000	1.5965	-0.4848	0.0164	-0.7414	-1.2624
0.6750	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.4724	0.2872	-0.3459	0.6016	0.0526
0.7000	14.9979	0.0001	0.0000	0.0000	-0.0000	0.4866	-0.5867	-0.0472	0.1633	0.0432
0.7250	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.5557	-0.5042	0.5550	-0.1288	-0.2878
0.7500	14.9979	0.0001	0.0000	0.0000	-0.0000	0.5043	-0.5770	-0.1207	0.1869	0.6914
0.7750	14.9979	0.0001	0.0000	0.0000	-0.0000	0.2468	-0.3634	1.0054	-0.0016	0.4676
0.8000	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.2682	0.4863	-0.0325	0.3424	0.5515
0.8250	14.9979	0.0001	0.0000	0.0000	-0.0000	0.9927	-0.6401	0.4326	-0.4634	-0.5583
0.8500	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.8098	0.5446	0.1339	0.8042	-0.2832
0.8750	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.1206	0.1367	0.1094	-0.3644	1.4375
0.9000	14.9979	0.0001	0.0000	0.0000	-0.0000	0.7618	0.2775	-0.1647	-0.1901	-1.7800
0.9250	14.9979	0.0001	0.0000	0.0000	-0.0000	0.0604	0.3358	-0.3704	0.6251	0.4956
0.9500	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.2770	-0.2032	-0.1892	-0.4634	-0.4091
0.9750	14.9979	0.0001	0.0000	0.0000	-0.0000	1.8363	-0.3828	0.1584	-0.1760	-0.2599
1.0000	14.9979	0.0001	0.0000	0.0000	-0.0000	0.1758	-0.6644	-0.1451	0.7665	0.3137
1.0250	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.4635	0.1367	0.1584	-0.6142	0.0292
1.0500	14.9979	0.0001	0.0000	0.0000	-0.0000	0.2824	-0.3245	0.2955	-0.4540	-0.1107
1.0750	14.9979	0.0001	0.0000	0.0000	-0.0000	1.2058	-0.7275	0.3885	0.3848	1.5494
1.1000	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.1439	0.7145	0.6137	0.1021	-0.4790
