time 	x0 	y0 	psi 	u 	v 	heave 	trim 	roll 	z_VF 	z_VA 	n 	T_p 	Qp 	drud 	Xrud 	Yrud 	Qrud 	WG1 	WG2 	WG3 	WG4 	x_0WM 	
s 	m 	m 	° 	m/s 	m/s 	mm 	mm/m 	° 	mm 	mm 	rps 	N 	Nmm 	° 	N 	N 	Nmm 	mm 	mm 	mm 	mm 	mm 	
0.0250	9.9979	0.0001	0.0000	0.0000	-0.0000	0.0334	0.0785	-0.5638	-0.1227	0.1896	-0.0079	-0.0198	-0.3535	0.0392	-0.0191	0.0227	-0.5218	0.9210	0.2729	0.1079	0.3155	-0.1670
0.0500	9.9979	0.0001	0.0000	0.0040	-0.0000	-0.3493	0.2620	-0.3651	-0.8708	0.1721	-0.0067	-0.0210	-1.1874	-0.0708	0.0189	0.0275	-0.2820	-0.8637	0.8313	-0.0585	0.8197	-0.3675
0.0750	9.9980	0.0001	0.0000	-0.0040	-0.0000	-0.5371	0.7439	-0.4525	-2.0174	0.9433	0.0274	-0.0513	0.3414	0.0056	-0.0058	0.0297	-0.4019	0.0331	-0.8535	0.4849	0.3297	-0.8105
0.1000	9.9979	0.0001	0.0000	0.0040	-0.0000	1.1426	-0.2665	-0.0511	1.6729	0.6123	-0.0183	-0.0583	1.0994	-0.0417	-0.0333	0.0332	-0.3583	0.6191	-0.9069	0.2303	-0.3725	0.5931
0.1250	9.9980	0.0001	0.0000	-0.0040	-0.0000	-0.5594	-0.2872	0.8987	0.0122	-1.1309	-0.0116	0.0035	0.6699	-0.1273	0.0228	0.0182	-0.3256	-0.6595	-0.3728	0.7787	0.3674	-0.5121
0.1500	9.9979	0.0001	0.0000	0.0000	-0.0000	0.9708	-0.0447	0.2787	1.0597	0.8819	-0.0122	0.0496	0.1519	0.0117	0.0173	0.0176	-0.3583	0.3616	0.2341	-0.5432	0.3061	1.1573
0.1750	9.9979	0.0001	0.0000	0.0040	-0.0000	0.6889	-0.1914	0.1754	1.0697	0.3081	0.0085	0.0606	-0.7073	-0.0127	-0.0243	0.0252	-0.2111	0.9122	-0.3388	0.6661	0.7066	0.3133
0.2000	9.9980	0.0001	0.0000	-0.0040	-0.0000	0.1401	-0.5978	0.4139	1.3297	-1.0494	-0.0012	0.0041	-0.7957	0.0331	0.0027	0.0240	-0.2275	-0.4997	-0.4602	0.3625	-0.4903	-0.5727
0.2250	9.9979	0.0001	0.0000	0.0040	-0.0000	-0.2361	0.2777	0.5768	-0.7887	0.3166	-0.0110	0.0152	-0.9978	-0.0265	0.0186	0.0284	-0.0531	-0.5707	0.0447	-0.0291	-0.0520	0.4718
0.2500	9.9980	0.0001	0.0000	-0.0040	-0.0000	0.6589	-0.9285	0.2549	2.5066	-1.1888	-0.0049	-0.0134	0.2909	0.0117	-0.0168	-0.0270	0.1868	1.6314	0.2438	-0.2690	-0.7117	-1.0297
0.2750	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.2485	-0.3079	0.8510	0.3642	-0.8612	0.0122	0.0047	1.0489	0.0407	0.0241	0.0211	0.3830	1.0098	-0.2563	-0.5579	0.5606	1.1899
0.3000	9.9979	0.0001	0.0000	0.0040	-0.0000	0.7880	-0.3384	0.4576	1.4614	0.1145	-0.0000	-0.0122	0.7078	-0.1227	0.0283	0.0118	0.1813	0.2906	0.6662	0.1373	-0.0238	0.1034
0.3250	9.9980	0.0001	0.0000	-0.0040	-0.0000	0.0139	0.3544	1.1173	-0.6912	0.7191	-0.0116	-0.0239	0.1771	-0.0081	-0.0272	0.0071	0.1486	-0.7838	-0.4991	1.0675	-0.2924	0.6677
0.3500	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.4938	-0.2104	-0.0631	-0.0750	-0.9125	-0.0049	-0.0489	-0.4167	-0.1028	0.0422	0.0052	0.1813	-1.0679	-0.5185	-0.2348	0.1270	0.9894
0.3750	9.9979	0.0001	0.0000	0.0000	-0.0000	0.1419	0.1597	-0.4088	-0.1760	0.4598	0.0012	-0.0600	-1.2632	-0.1273	-0.0051	0.0195	0.5356	0.7435	-0.2951	-0.1320	-0.3583	-0.1297
0.4000	9.9979	0.0001	0.0000	0.0000	-0.0000	0.5606	-1.1680	-0.1107	2.8850	-1.7638	0.0122	0.0711	-1.3642	-0.0570	-0.0356	0.0259	0.5956	-1.6362	0.4380	-0.2005	0.3438	0.4858
0.4250	9.9979	0.0001	0.0000	0.0040	-0.0000	0.7200	0.2654	0.1118	0.1919	1.2481	-0.0049	0.0146	1.1374	-0.0524	0.0124	0.0163	0.4157	1.8711	-0.6738	0.5045	-0.3253	-0.5680
0.4500	9.9980	0.0001	0.0000	-0.0040	-0.0000	-0.6411	-1.5150	-0.2101	2.3737	-3.6560	-0.0201	0.0350	1.1500	0.0667	-0.0119	0.0252	0.1486	-0.8371	-0.2369	-0.2397	0.1977	0.2527
