# Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
-1270.65, -32460.3, -2.92306e+06, -178550, 7.93969e+06, -1.09613e+06
-4429.29, -16349.7, -2.70405e+06, -39503.3, 9.16724e+06, -976891
-2212.2, -5840.49, -2.64025e+06, 8232.67, 7.77913e+06, -869087
-1992.57, 828.365, -2.58394e+06, 46023.1, 7.71187e+06, -497756
845.361, -1530.29, -2.59274e+06, 55777.6, 6.32054e+06, 92109.5
1832.49, -8781.27, -2.65904e+06, 25196.6, 5.76304e+06, 528797
-1394.93, -18799.3, -2.70249e+06, 2110.47, 9.22559e+06, 363796
2541.16, -31917.7, -2.6777e+06, -104187, 4.96932e+06, 540476
1089.58, -65216.4, -3.13818e+06, -351562, 6.94848e+06, -511913
-1661.38, -33159.5, -2.79993e+06, -181832, 8.27833e+06, -1.1315e+06
-5063.77, -5547.33, -2.7839e+06, -10189.3, 1.01038e+07, -1.02902e+06
-2549.75, -3840.81, -2.57086e+06, 25717.3, 7.81453e+06, 262776
-723.957, -17622.2, -2.50403e+06, -73396.1, 5.96128e+06, -109071
-1260.96, -13366.7, -2.43771e+06, -68679.6, 5.78401e+06, -660966
2536.91, -7109.26, -2.50471e+06, -35889.7, 3.52389e+06, -668751
386.295, 442.356, -2.6186e+06, 39140.5, 5.74382e+06, -654993
-2445.54, 5277.86, -2.60841e+06, 86117.9, 7.96643e+06, -148208
-3097.47, -2069.51, -2.47427e+06, 15131.6, 7.69387e+06, 11054.9
-1303.31, -2764.91, -2.33261e+06, -76.4039, 5.50878e+06, -253795
1764.07, 579.862, -2.37393e+06, 20540.1, 3.25011e+06, -53044.7
196.702, 1963.96, -2.43439e+06, 25429.2, 5.0321e+06, -126990
-7.59913, 7638.11, -2.45671e+06, 56586.5, 5.2236e+06, -478174
921.806, 14220.1, -2.49915e+06, 114692, 4.69151e+06, -7332
-19331.6, -203591, -3.37706e+06, -4.30666e+06, 2.40616e+07, -3.8271e+06
-1865.09, -27073.6, -2.30081e+06, -131703, 5.63741e+06, -857270
1861.31, -24682.5, -2.33661e+06, -112628, 3.08223e+06, -539651
1995.35, -22547.4, -2.52757e+06, -111472, 4.13492e+06, -838136
832.176, -8107.89, -2.10801e+06, -30029.2, 3.01958e+06, -842984
-430.252, -2867.02, -2.15126e+06, 14033.3, 4.40286e+06, 128923
-4191.95, -5253.74, -2.05692e+06, 3297.9, 6.63278e+06, 312147
-1597.41, -1787.84, -2.49143e+06, -14866.4, 6.63935e+06, -514164
854.998, -1717.41, -2.50375e+06, -11053.2, 4.60864e+06, -176225
803.661, -3009.32, -2.59022e+06, -11827.7, 5.06272e+06, -67441.2
-131.512, -1994.35, -2.40732e+06, 9131.53, 5.01341e+06, -65955.4
565.256, 1324.95, -2.43323e+06, 26182.4, 4.41863e+06, -350953
