# Fx [N], Fy [N], Fz [N], Mx [Nm], My [Nm], Mz [Nm]
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
-1.49568e-08, 1.70457e-08, 5.03286e+08, -988604, -4.1927e+08, -7.39354e-07
