# x [m], y [m], z [m]
3.5, -2, 8.78095e-07
2.375, -2, 0.000176735
3.18906, -2, 3.99081e-05
2.68594, -2, 0.000119686
2.375, -2, 0.000176735
1.25, -2, 0.000329664
2.06406, -2, 0.000240689
1.56094, -2, 0.000311003
1.25, -2, 0.000329664
0.125, -2, 0.000176735
0.939058, -2, 0.000311004
0.435942, -2, 0.000240688
0.125, -2, 0.000176735
-1, -2, 8.78957e-07
-0.185942, -2, 0.000119685
-0.689058, -2, 3.99083e-05
3.5, 2, 8.77829e-07
3.5, 1, -2.67117e-07
3.5, 1.72361, -2.90041e-07
3.5, 1.27639, -3.81293e-08
3.5, 1, -2.67117e-07
3.5, 0, -2.69235e-07
3.5, 0.723607, -1.13006e-07
3.5, 0.276393, -2.67268e-07
3.5, 0, -2.69235e-07
3.5, -1, -2.67163e-07
3.5, -0.276393, -2.67281e-07
3.5, -0.723607, -1.13005e-07
3.5, -1, -2.67163e-07
3.5, -2, 8.78095e-07
3.5, -1.27639, -3.80962e-08
3.5, -1.72361, -2.90094e-07
3.5, 2, 8.77829e-07
2.375, 2, 0.000176735
3.18906, 2, 3.99079e-05
2.68594, 2, 0.000119686
2.375, 2, 0.000176735
1.25, 2, 0.000329664
2.06406, 2, 0.000240689
1.56094, 2, 0.000311004
1.25, 2, 0.000329664
0.125, 2, 0.000176735
0.939058, 2, 0.000311004
0.435942, 2, 0.000240688
0.125, 2, 0.000176735
-1, 2, 8.78453e-07
-0.185942, 2, 0.000119686
-0.689058, 2, 3.99082e-05
-1, 2, 8.78453e-07
-1, 1, -2.67197e-07
-1, 1.72361, -2.90121e-07
-1, 1.27639, -3.80478e-08
-1, 1, -2.67197e-07
-1, 0, -2.69214e-07
-1, 0.723607, -1.12992e-07
-1, 0.276393, -2.67284e-07
-1, 0, -2.69214e-07
-1, -1, -2.67271e-07
-1, -0.276393, -2.67286e-07
-1, -0.723607, -1.12994e-07
-1, -1, -2.67271e-07
-1, -2, 8.78957e-07
-1, -1.27639, -3.80168e-08
-1, -1.72361, -2.90178e-07
1.25, -0.125, 0.00494716
1.17136, -0.124504, 0.00444846
1.22826, -0.124961, 0.00424622
1.19309, -0.12474, 0.00419819
1.17136, -0.124504, 0.00444846
1.09273, -0.123022, 0.0041908
1.14963, -0.124193, 0.00432785
1.11446, -0.12353, 0.00423661
1.09273, -0.123022, 0.0041908
1.01413, -0.120551, 0.00417746
1.071, -0.122438, 0.00437679
1.03585, -0.121333, 0.00409328
1.01413, -0.120551, 0.00417746
0.935563, -0.117093, 0.00406255
0.992409, -0.119694, 0.00435138
0.957273, -0.118148, 0.00397193
0.935563, -0.117093, 0.00406255
0.857046, -0.112648, 0.00392651
0.913856, -0.115963, 0.00431037
0.878742, -0.113975, 0.00381031
0.857046, -0.112648, 0.00392651
0.778592, -0.107217, 0.00374305
0.835355, -0.111246, 0.00423894
0.800269, -0.108817, 0.00361192
0.778592, -0.107217, 0.00374305
0.700212, -0.100807, 0.00351633
0.756921, -0.105543, 0.00412808
0.721868, -0.102676, 0.00336779
0.700212, -0.100807, 0.00351633
0.621917, -0.0934292, 0.00324452
0.678563, -0.098864, 0.00398006
0.643548, -0.0955644, 0.00307908
0.621917, -0.0934292, 0.00324452
0.543717, -0.0850969, 0.00293227
0.600293, -0.0912211, 0.00379177
0.565321, -0.0874945, 0.00274329
0.543717, -0.0850969, 0.00293227
0.465625, -0.0758151, 0.0025786
0.522122, -0.082627, 0.00356899
0.487198, -0.0784764, 0.00236408
0.465625, -0.0758151, 0.0025786
0.387654, -0.0655645, 0.00210512
0.444062, -0.0730799, 0.0032875
0.409192, -0.0684961, 0.0018798
0.387654, -0.0655645, 0.00210512
0.309821, -0.0543171, 0.00140128
0.366127, -0.0625567, 0.00285859
0.331319, -0.0575273, 0.0011837
0.309821, -0.0543171, 0.00140128
0.232142, -0.0420458, 0.000151596
0.288335, -0.0510283, 0.00212657
0.253596, -0.0455393, 3.59347e-05
0.232142, -0.0420458, 0.000151596
0.154622, -0.0288083, -0.00213543
0.210701, -0.0384781, 0.000698011
0.176033, -0.0325561, -0.00198223
0.154622, -0.0288083, -0.00213543
0.077248, -0.0147428, -0.00662
0.133223, -0.0249972, -0.0019617
0.0986201, -0.0187047, -0.00589213
0.077248, -0.0147428, -0.00662
0, 0, -0.031153
0.0558856, -0.0107291, -0.00856567
0.0213396, -0.00413365, -0.018703
2.5, 0, -0.031153
2.42275, -0.0147428, -0.00662024
2.47866, -0.00413365, -0.0187031
2.44411, -0.0107291, -0.0085655
2.42275, -0.0147428, -0.00662024
2.34538, -0.0288083, -0.0021359
2.40138, -0.0187047, -0.00589206
2.36678, -0.0249972, -0.00196164
2.34538, -0.0288083, -0.0021359
2.26786, -0.0420458, 0.000150721
2.32397, -0.0325561, -0.00198208
2.2893, -0.0384781, 0.00069814
2.26786, -0.0420458, 0.000150721
2.19018, -0.0543171, 0.00140017
2.2464, -0.0455393, 3.61309e-05
2.21167, -0.0510283, 0.00212675
2.19018, -0.0543171, 0.00140017
2.11235, -0.0655645, 0.00210391
